26
0
2
times CO HONO NH3 NO NO2 SO2 ISOP APIN BPIN MACR CH3CHO BENZENE C2H6 C2H4 C2H5OH CH2O CH3OH TOLUENE C3H6 BIGENE BIGALK C3H8 CH3COCH3 MVK C2H2 XYLENES
0.0000e+00 2.3325e+12 7.8424e+08 3.5912e+10 2.9078e+11 3.1275e+09 1.7860e+11 7.3824e+06 2.0429e+09 1.1509e+09 4.2040e+07 2.9770e+09 1.8471e+09 3.0875e+09 8.4280e+09 7.3067e+09 4.4300e+09 5.4583e+09 4.9046e+09 5.2341e+08 2.3423e+09 4.3489e+10 2.6124e+10 2.7523e+10 5.5980e+08 1.3692e+10 3.4514e+09
1.0000e+00 2.2835e+12 7.0841e+08 3.8977e+10 2.8382e+11 3.0722e+09 1.7366e+11 7.0057e+06 1.9435e+09 1.0949e+09 2.9022e+07 2.8787e+09 1.7942e+09 2.9997e+09 8.0602e+09 7.0526e+09 4.2588e+09 5.3494e+09 4.6799e+09 5.0373e+08 2.2443e+09 4.2014e+10 2.5575e+10 2.6945e+10 5.4803e+08 1.3404e+10 3.2704e+09
2.0000e+00 2.2928e+12 6.9289e+08 5.0667e+10 2.8357e+11 3.0683e+09 1.7646e+11 6.6022e+06 1.8436e+09 1.0387e+09 2.9150e+07 2.8893e+09 1.8095e+09 3.0229e+09 8.0516e+09 7.1239e+09 4.2443e+09 5.4856e+09 4.7211e+09 5.0806e+08 2.2588e+09 4.2425e+10 2.5680e+10 2.7055e+10 5.5028e+08 1.3459e+10 3.3256e+09
3.0000e+00 2.3857e+12 7.6371e+08 7.9025e+10 2.9357e+11 3.1613e+09 1.8366e+11 6.2108e+06 1.7537e+09 9.8832e+08 3.9243e+07 3.0727e+09 1.9024e+09 3.1635e+09 8.4742e+09 7.7871e+09 4.4373e+09 6.1118e+09 5.1456e+09 5.4107e+08 2.4208e+09 4.6277e+10 2.6719e+10 2.8151e+10 5.7256e+08 1.4004e+10 3.7028e+09
4.0000e+00 2.6497e+12 1.1125e+09 1.0874e+11 3.3529e+11 3.5418e+09 1.8452e+11 0.0000e+00 1.6736e+09 9.4332e+08 8.7001e+07 3.5788e+09 2.1529e+09 3.5728e+09 1.0082e+10 9.2343e+09 5.1622e+09 7.2009e+09 6.2913e+09 6.3847e+08 2.8982e+09 5.5198e+10 2.9677e+10 3.1267e+10 6.3593e+08 1.5554e+10 4.6515e+09
5.0000e+00 3.3921e+12 2.0694e+09 1.3724e+11 4.5098e+11 4.5529e+09 1.8950e+11 3.2978e+09 1.6764e+09 9.4620e+08 2.6392e+08 4.8396e+09 2.9059e+09 4.8287e+09 1.4836e+10 1.2156e+10 7.1852e+09 8.8625e+09 9.2498e+09 9.3126e+08 4.2940e+09 7.4279e+10 3.7991e+10 4.0027e+10 8.1410e+08 1.9912e+10 7.1295e+09
6.0000e+00 4.1761e+12 3.1844e+09 1.5927e+11 5.8644e+11 5.7973e+09 1.9234e+11 2.8558e+10 1.9522e+09 1.1039e+09 4.1800e+08 6.3193e+09 3.6930e+09 6.2483e+09 2.0207e+10 1.6398e+10 9.3957e+09 1.0963e+10 1.3134e+10 1.2696e+09 5.9511e+09 9.9341e+10 4.6773e+10 4.9278e+10 1.0023e+09 2.4514e+10 1.0208e+10
7.0000e+00 4.6160e+12 3.2926e+09 1.7444e+11 6.0580e+11 6.0235e+09 1.9449e+11 7.2479e+10 2.5266e+09 1.4311e+09 4.1267e+08 7.3679e+09 4.1564e+09 7.0666e+09 2.2430e+10 2.1359e+10 1.0265e+10 1.3141e+10 1.8301e+10 1.4768e+09 7.1273e+09 1.2701e+11 5.1699e+10 5.4468e+10 1.1078e+09 2.7096e+10 1.3618e+10
8.0000e+00 4.6536e+12 3.0923e+09 1.9251e+11 5.8592e+11 5.9294e+09 1.9457e+11 1.3051e+11 3.1527e+09 1.7869e+09 2.9265e+08 7.7428e+09 4.1763e+09 7.3713e+09 2.2814e+10 2.4480e+10 1.0148e+10 1.4802e+10 2.0341e+10 1.5632e+09 7.6511e+09 1.4243e+11 5.2120e+10 5.4913e+10 1.1169e+09 2.7317e+10 1.5050e+10
9.0000e+00 5.1324e+12 3.2135e+09 2.2368e+11 6.0045e+11 6.0941e+09 1.9720e+11 1.7970e+11 3.5942e+09 2.0370e+09 2.9009e+08 8.6244e+09 4.6384e+09 8.5518e+09 2.6103e+10 2.7996e+10 1.1017e+10 1.5972e+10 2.3922e+10 1.8558e+09 9.1094e+09 1.6290e+11 5.7483e+10 6.0562e+10 1.2318e+09 3.0127e+10 1.7857e+10
1.0000e+01 5.4590e+12 3.5227e+09 2.4980e+11 6.3454e+11 6.3622e+09 1.9832e+11 2.3172e+11 3.9634e+09 2.2457e+09 3.5078e+08 9.2565e+09 4.9645e+09 9.0176e+09 2.7797e+10 3.0075e+10 1.1829e+10 1.6871e+10 2.5512e+10 1.9727e+09 9.7550e+09 1.7452e+11 6.1140e+10 6.4416e+10 1.3102e+09 3.2044e+10 1.9060e+10
1.1000e+01 5.6011e+12 3.7432e+09 2.6174e+11 6.5737e+11 6.5982e+09 1.9765e+11 2.7244e+11 4.3043e+09 2.4376e+09 3.6775e+08 9.5787e+09 5.0665e+09 9.1507e+09 2.8511e+10 3.0868e+10 1.2235e+10 1.7307e+10 2.6011e+10 2.0119e+09 1.0022e+10 1.8009e+11 6.2732e+10 6.6093e+10 1.3443e+09 3.2878e+10 1.9429e+10
1.2000e+01 5.6571e+12 3.7730e+09 2.4693e+11 6.6069e+11 6.6590e+09 1.9747e+11 3.0466e+11 4.6587e+09 2.6390e+09 3.6180e+08 9.6879e+09 5.0630e+09 9.1437e+09 2.8596e+10 3.0698e+10 1.2344e+10 1.7606e+10 2.5744e+10 2.0154e+09 1.0084e+10 1.8126e+11 6.3360e+10 6.6754e+10 1.3577e+09 3.3207e+10 1.9313e+10
1.3000e+01 5.7440e+12 3.9095e+09 2.0104e+11 6.7765e+11 6.8316e+09 1.9766e+11 3.2111e+11 5.0186e+09 2.8420e+09 3.7953e+08 9.8039e+09 5.1022e+09 9.2538e+09 2.9148e+10 3.0150e+10 1.2595e+10 1.7715e+10 2.5334e+10 2.0430e+09 1.0215e+10 1.8052e+11 6.4333e+10 6.7780e+10 1.3786e+09 3.3717e+10 1.9183e+10
1.4000e+01 6.0776e+12 4.4010e+09 1.5784e+11 7.3463e+11 7.3419e+09 1.9785e+11 3.0427e+11 5.2181e+09 2.9532e+09 4.7397e+08 1.0224e+10 5.3557e+09 9.7563e+09 3.1420e+10 2.9825e+10 1.3524e+10 1.7415e+10 2.5611e+10 2.1633e+09 1.0777e+10 1.8195e+11 6.8069e+10 7.1716e+10 1.4586e+09 3.5676e+10 1.9612e+10
1.5000e+01 6.0677e+12 4.4606e+09 1.4843e+11 7.3946e+11 7.3998e+09 1.9724e+11 2.7202e+11 5.3041e+09 3.0012e+09 4.7378e+08 9.9743e+09 5.2325e+09 9.6200e+09 3.1108e+10 2.8991e+10 1.3333e+10 1.6575e+10 2.3957e+10 2.1292e+09 1.0573e+10 1.7560e+11 6.7958e+10 7.1599e+10 1.4562e+09 3.5617e+10 1.8714e+10
1.6000e+01 5.9551e+12 4.3882e+09 1.4588e+11 7.3217e+11 7.3033e+09 1.9732e+11 2.1284e+11 5.1549e+09 2.9157e+09 4.8453e+08 9.5386e+09 5.0769e+09 9.2728e+09 3.0008e+10 2.7683e+10 1.2943e+10 1.5319e+10 2.2885e+10 2.0380e+09 1.0090e+10 1.6590e+11 6.6697e+10 7.0270e+10 1.4292e+09 3.4956e+10 1.7796e+10
1.7000e+01 5.1469e+12 3.5227e+09 1.3570e+11 6.3282e+11 6.3486e+09 1.9555e+11 1.4221e+11 4.8459e+09 2.7401e+09 3.8555e+08 8.3870e+09 4.4556e+09 7.8607e+09 2.4988e+10 2.5244e+10 1.1219e+10 1.4855e+10 1.9541e+10 1.6925e+09 8.3855e+09 1.4720e+11 5.7645e+10 6.0734e+10 1.2353e+09 3.0212e+10 1.5094e+10
1.8000e+01 4.1400e+12 2.7573e+09 5.5333e+10 5.4239e+11 5.4769e+09 1.9975e+11 4.7502e+10 3.2008e+09 1.8131e+09 2.6848e+08 7.0196e+09 3.7047e+09 6.2789e+09 1.9643e+10 2.0697e+10 9.3146e+09 1.4256e+10 1.5425e+10 1.3045e+09 6.4084e+09 1.2444e+11 4.6368e+10 4.8852e+10 9.9360e+08 2.4302e+10 1.1925e+10
1.9000e+01 4.1400e+12 2.7573e+09 5.5333e+10 5.4239e+11 5.4769e+09 1.9975e+11 4.7502e+10 3.2008e+09 1.8131e+09 2.6848e+08 7.0196e+09 3.7047e+09 6.2789e+09 1.9643e+10 2.0697e+10 9.3146e+09 1.4256e+10 1.5425e+10 1.3045e+09 6.4084e+09 1.2444e+11 4.6368e+10 4.8852e+10 9.9360e+08 2.4302e+10 1.1925e+10
2.0000e+01 3.6088e+12 2.2768e+09 4.8473e+10 4.8459e+11 4.9150e+09 1.9707e+11 8.3771e+09 2.7041e+09 1.5275e+09 2.2669e+08 5.9135e+09 3.1828e+09 5.2411e+09 1.6206e+10 1.6763e+10 8.0433e+09 1.1969e+10 1.2139e+10 1.0485e+09 5.1125e+09 1.0132e+11 4.0419e+10 4.2584e+10 8.6612e+08 2.1184e+10 9.3222e+09
2.1000e+01 3.0925e+12 1.8501e+09 4.3266e+10 4.3177e+11 4.4546e+09 1.9360e+11 8.5665e+06 2.4659e+09 1.3919e+09 1.6123e+08 4.7253e+09 2.6034e+09 4.2653e+09 1.3029e+10 1.2956e+10 6.7055e+09 9.3007e+09 9.1147e+09 8.0779e+08 3.8558e+09 7.7324e+10 3.4636e+10 3.6492e+10 7.4221e+08 1.8153e+10 6.8460e+09
2.2000e+01 2.8542e+12 1.5412e+09 3.9248e+10 3.9067e+11 4.0528e+09 1.9152e+11 8.2459e+06 2.3448e+09 1.3230e+09 1.3863e+08 4.0192e+09 2.3393e+09 3.8978e+09 1.1638e+10 1.0480e+10 5.9413e+09 7.3947e+09 7.5669e+09 7.1566e+08 3.3069e+09 6.2253e+10 3.1967e+10 3.3680e+10 6.8502e+08 1.6754e+10 5.6463e+09
2.3000e+01 2.6077e+12 1.2312e+09 3.6422e+10 3.5076e+11 3.6957e+09 1.8891e+11 7.9837e+06 2.2387e+09 1.2622e+09 9.5458e+07 3.5190e+09 2.0948e+09 3.5111e+09 1.0186e+10 8.9703e+09 5.2582e+09 6.3324e+09 6.4432e+09 6.2209e+08 2.8311e+09 5.3231e+10 2.9206e+10 3.0771e+10 6.2584e+08 1.5307e+10 4.7251e+09
2.4000e+01 2.3990e+12 8.9980e+08 3.4811e+10 3.0768e+11 3.2944e+09 1.8292e+11 7.6995e+06 2.1475e+09 1.2104e+09 5.1024e+07 3.1262e+09 1.9028e+09 3.1804e+09 8.8397e+09 7.7478e+09 4.6377e+09 5.7846e+09 5.1920e+09 5.4547e+08 2.4632e+09 4.6196e+10 2.6869e+10 2.8308e+10 5.7576e+08 1.4082e+10 3.6807e+09
